carBrand,carModel,year,price(rub),city,distance(km),engine_capacity(L),fuel_type
Toyota,Camry,2008,1130000.0,Иркутск,320000.0,2.4,"бензин,"
Toyota,Camry,2012,1720000.0,Новосибирск,170000.0,2.5,"бензин,"
Toyota,Camry,2017,2999999.0,Шарыпово,83000.0,2.5,"бензин,"
Toyota,Camry,2015,630000.0,Кемерово,154000.0,2.0,"бензин,"
Toyota,Camry,2005,818000.0,Красноярск,170000.0,2.4,"бензин,"
Toyota,Camry,2018,2788000.0,Красноярск,207000.0,2.5,"бензин,"
Toyota,Camry,2019,3050000.0,Томск,58000.0,2.5,"бензин,"
Toyota,Camry,2004,930000.0,Новосибирск,250.0,2.4,"бензин,"
Toyota,Camry,2014,2099999.0,Якутск,103555.0,2.5,"гибрид,"
Toyota,Camry,2013,2750000.0,Томск,240000.0,3.5,"бензин,"
Toyota,Camry,2015,1949000.0,Новокузнецк,101000.0,2.0,"бензин,"
Toyota,Camry,2003,900000.0,Бийск,149147.0,2.4,"бензин,"
Toyota,Camry,2011,1499000.0,Кемерово,243545.0,2.5,"бензин,"
Toyota,Camry,2008,900000.0,Новосибирск,296278.0,2.4,"бензин,"
Toyota,Camry,2013,1390000.0,Абакан,243729.0,3.5,"бензин,"
Toyota,Camry,2008,1409000.0,Абакан,220000.0,2.4,"бензин,"
Toyota,Camry,2012,1900000.0,Иркутск,178000.0,2.5,"бензин,"
Toyota,Camry,2016,2399000.0,Новосибирск,185000.0,2.5,"бензин,"
Toyota,Camry,2009,1340000.0,Новосибирск,339135.0,2.4,"бензин,"
Toyota,Camry,2007,980000.0,Тулун,268548.0,3.5,"бензин,"
Toyota,Camry,2015,2300000.0,Якутск,87470.0,2.5,"бензин,"
Toyota,Camry,2007,1300000.0,Иркутск,581000.0,2.4,"бензин,"
Toyota,Camry,2011,1135000.0,Иркутск,254712.0,3.5,"бензин,"
Toyota,Camry,2005,950000.0,Магадан,290000.0,2.4,"бензин,"
Toyota,Camry,2004,1030000.0,Барнаул,245000.0,2.4,"бензин,"
Toyota,Camry,2002,800000.0,Иркутск,400000.0,2.4,"бензин,"
Toyota,Camry,2008,900000.0,Красноярск,295000.0,3.5,"бензин,"
Toyota,Camry,2019,3150000.0,Владивосток,60000.0,2.5,"бензин,"
Toyota,Camry,1998,130000.0,Комсомольск-на-Амуре,180000.0,2.0,"бензин,"
Toyota,Camry,1996,350000.0,Находка,476887.0,2.0,"бензин,"
Toyota,Camry,2011,1500000.0,Северобайкальск,158656.0,2.4,"бензин,"
Toyota,Camry,2008,1349000.0,Красноярск,185800.0,3.5,"бензин,"
Toyota,Camry,1995,180000.0,Якутск,222255.0,2.0,"бензин,"
Toyota,Camry,2006,1150000.0,Улан-Удэ,215587.0,2.4,"бензин,"
Toyota,Camry,2006,1150000.0,Улан-Удэ,215587.0,2.4,"бензин,"
Toyota,Camry,2009,1350000.0,Благовещенск,278000.0,2.4,"бензин,"
Toyota,Camry,1996,280000.0,Комсомольск-на-Амуре,295996.0,1.8,"бензин,"
Toyota,Camry,2017,2350000.0,Артём,173000.0,2.5,"гибрид,"
Toyota,Camry,2013,1590000.0,Иркутск,160000.0,2.5,"бензин,"
Toyota,Camry,2018,2800000.0,Владивосток,115000.0,2.5,"гибрид,"
Toyota,Camry,2015,1900000.0,Мариинск,197770.0,2.0,"бензин,"
Toyota,Camry,2010,1247000.0,Иркутск,204000.0,2.4,"бензин,"
Toyota,Camry,2018,2890000.0,Хабаровск,45000.0,2.5,"гибрид,"
Toyota,Camry,2019,3180000.0,Сургут,103000.0,2.5,"бензин,"
Toyota,Camry,1994,390000.0,Елизово,430000.0,2.0,"бензин,"
Toyota,Camry,2006,1125000.0,Уссурийск,252000.0,2.4,"бензин,"
Toyota,Camry,2019,2850000.0,Артём,98815.0,2.5,"бензин,"
Toyota,Camry,2019,2819000.0,Новосибирск,230000.0,2.5,"бензин,"
Toyota,Camry,2011,2100000.0,Прокопьевск,171600.0,2.5,"бензин,"
Toyota,Camry,1992,250000.0,Комсомольск-на-Амуре,210000.0,1.8,"бензин,"
Toyota,Camry,2013,1880000.0,Нижневартовск,192500.0,2.0,"бензин,"
Toyota,Camry,2007,820000.0,Кемерово,,3.5,"бензин,"
Toyota,Camry,2015,2490000.0,Чита,186000.0,2.5,"бензин,"
Toyota,Camry,2017,2900000.0,Курчатов,110000.0,2.5,"бензин,"
Toyota,Camry,2007,1280000.0,Иркутск,233470.0,2.4,"бензин,"
Toyota,Camry,2017,2550000.0,Сагопши,96962.0,2.5,"бензин,"
Toyota,Camry,2013,1799999.0,Омск,180000.0,2.5,"бензин,"
Toyota,Camry,2007,1100000.0,Тулун,193000.0,2.4,"бензин,"
Toyota,Camry,2003,730000.0,Маслянино,355000.0,2.4,"бензин,"
Toyota,Camry,2001,585000.0,Новосибирск,300000.0,2.5,"бензин,"
Toyota,Camry,2014,1950000.0,Невинномысск,205777.0,2.5,"бензин,"
Toyota,Camry,2008,1400000.0,Пыть-Ях,280000.0,2.4,"бензин,"
Toyota,Camry,2004,850000.0,Барнаул,346000.0,2.4,"бензин,"
Toyota,Camry,2015,2100000.0,Пермь,184000.0,2.5,"бензин,"
Toyota,Camry,2010,1550000.0,Горно-Алтайск,246000.0,2.4,"бензин,"
Toyota,Camry,2012,1849000.0,Москва,251700.0,2.5,"бензин,"
Toyota,Camry,2011,1280000.0,Торжок,240000.0,2.5,"бензин,"
Toyota,Camry,2008,1300000.0,Томск,267000.0,2.4,"бензин,"
Toyota,Camry,2012,2060000.0,Омск,176000.0,2.5,"бензин,"
Toyota,Camry,2015,2500000.0,Новосибирск,150000.0,3.5,"бензин,"
Toyota,Camry,2012,1750000.0,Владивосток,129000.0,2.0,"бензин,"
Toyota,Camry,2019,2830000.0,Краснодар,189633.0,3.5,"бензин,"
Toyota,Camry,2012,1700000.0,Сургут,240000.0,2.5,"бензин,"
Toyota,Camry,2011,1470000.0,Дербент,267000.0,2.4,"бензин,"
Toyota,Camry,2012,1690000.0,Пермь,287000.0,2.0,"бензин,"
Toyota,Camry,2014,2229000.0,Ижевск,148260.0,2.5,"бензин,"
Toyota,Camry,2011,1600000.0,Фёдоровский,252000.0,2.4,"бензин,"
Toyota,Camry,2019,2550000.0,Ростов-на-Дону,232000.0,2.5,"бензин,"
Toyota,Camry,2019,3200000.0,Новокузнецк,102000.0,2.5,"бензин,"
Toyota,Camry,2018,2780000.0,Хабаровск,62000.0,2.0,"бензин,"
Toyota,Camry,2019,3100000.0,Иркутск,62000.0,2.5,"гибрид,"
Toyota,Camry,1998,400000.0,Иркутск,173000.0,2.2,"бензин,"
Toyota,Camry,1997,200000.0,Якутск,380143.0,1.8,"бензин,"
Toyota,Camry,2019,2599000.0,Челябинск,180000.0,2.5,"бензин,"
Toyota,Camry,2012,2000000.0,Славгород,160700.0,2.5,"бензин,"
Toyota,Camry,2003,960000.0,Горно-Алтайск,396000.0,2.4,"бензин,"
Toyota,Camry,2011,1500000.0,Вилючинск,246425.0,3.5,"бензин,"
Toyota,Camry,2014,2700000.0,Батайск,137000.0,3.5,"бензин,"
Toyota,Camry,2019,2690000.0,Комсомольск-на-Амуре,139000.0,2.5,"бензин,"
Toyota,Camry,2015,2288000.0,Красноярск,146000.0,2.5,"бензин,"
Toyota,Camry,2018,2585000.0,Казань,117000.0,2.5,"бензин,"
Toyota,Camry,2017,2052000.0,Ростов-на-Дону,145000.0,2.0,"бензин,"
Toyota,Camry,2012,2050000.0,Иркутск,199000.0,2.5,"бензин,"
Toyota,Camry,1997,430000.0,Бийск,429704.0,1.8,"бензин,"
Toyota,Camry,1997,430000.0,Бийск,429704.0,1.8,"бензин,"
Toyota,Camry,2012,1800000.0,Кемерово,230000.0,2.5,"бензин,"
Toyota,Camry,2012,1700000.0,Санкт-Петербург,228420.0,2.5,"бензин,"
Toyota,Camry,2010,1200000.0,Владивосток,240000.0,2.5,"бензин,"
Toyota,Camry,2006,1160000.0,Улан-Удэ,277000.0,3.5,"бензин,"
Toyota,Camry,2007,850000.0,Новоаганск,234773.0,2.4,"бензин,"
Toyota,Camry,2001,870000.0,Ачинск,317511.0,2.4,"бензин,"
Toyota,Camry,2008,1150000.0,Улан-Удэ,295000.0,3.5,"бензин,"
Toyota,Camry,2010,1550000.0,Новосибирск,275000.0,3.5,"бензин,"
Toyota,Camry,2011,1540000.0,Самара,216000.0,2.4,"бензин,"
Toyota,Camry,2008,1500000.0,Когалым,218000.0,2.4,"бензин,"
Toyota,Camry,2005,970000.0,Братск,370017.0,2.4,"бензин,"
Toyota,Camry,2009,1515000.0,Бердск,196000.0,2.4,"бензин,"
Toyota,Camry,2019,3050000.0,Чита,81000.0,2.5,"бензин,"
Toyota,Camry,2005,965000.0,Иркутск,320000.0,2.4,"бензин,"
Toyota,Camry,2004,800000.0,Екатеринбург,404000.0,2.4,"бензин,"
Toyota,Camry,2014,1650000.0,Иркутск,161000.0,2.5,"бензин,"
Toyota,Camry,2016,2500000.0,Иркутск,150625.0,2.5,"бензин,"
Toyota,Camry,2005,920000.0,Омск,230000.0,2.4,"бензин,"
Toyota,Camry,2013,1799000.0,Самара,224000.0,2.5,"бензин,"
Toyota,Camry,2013,2090000.0,Екатеринбург,196000.0,2.5,"бензин,"
Toyota,Camry,2007,1280000.0,Чита,225000.0,3.5,"бензин,"
Toyota,Camry,2016,2370000.0,Мирный,123988.0,2.5,"бензин,"
Toyota,Camry,2006,1050000.0,Улан-Удэ,650000.0,3.5,"бензин,"
Toyota,Camry,2019,3500000.0,Сургут,83700.0,2.5,"бензин,"
Toyota,Camry,2012,1800000.0,Красноярск,223000.0,2.5,"бензин,"
Toyota,Camry,1998,380000.0,Бийск,371419.0,1.8,"бензин,"
Toyota,Camry,2019,3700000.0,Екатеринбург,130000.0,3.5,"бензин,"
Toyota,Camry,2011,1800000.0,Томск,300000.0,2.4,"бензин,"
Toyota,Camry,1992,180000.0,Советская Гавань,347000.0,1.8,"бензин,"
Toyota,Camry,2007,1270000.0,Калтан,343000.0,2.4,"бензин,"
Toyota,Camry,2015,2240000.0,Кызыл,167424.0,2.5,"бензин,"
Toyota,Camry,2018,3700000.0,Томск,70000.0,3.5,"бензин,"
Toyota,Camry,2011,2050000.0,Улан-Удэ,189000.0,2.5,"бензин,"
Toyota,Camry,2011,1800000.0,Новосибирск,173192.0,2.4,"бензин,"
Toyota,Camry,2011,1350000.0,Красноярск,194000.0,2.4,"бензин,"
Toyota,Camry,2008,980000.0,Анапа,300000.0,2.4,"бензин,"
Toyota,Camry,2014,1800000.0,Ангарск,170000.0,2.5,"бензин,"
Toyota,Camry,2015,2150000.0,Новый Уренгой,170000.0,2.0,"бензин,"
Toyota,Camry,2015,2750000.0,Абакан,112000.0,2.5,"бензин,"
Toyota,Camry,2018,2570000.0,Красноярск,90000.0,2.5,"бензин,"
Toyota,Camry,2012,2030000.0,Абакан,187000.0,2.5,"бензин,"
Toyota,Camry,2017,2600000.0,Прокопьевск,133000.0,2.5,"бензин,"
Toyota,Camry,2013,2350000.0,Тольятти,219000.0,2.5,"бензин,"
Toyota,Camry,2012,2190000.0,Абакан,170000.0,2.5,"бензин,"
Toyota,Camry,2003,770000.0,Ангарск,317522.0,2.0,"бензин,"
Toyota,Camry,2008,1390000.0,Пермь,162000.0,2.4,"бензин,"
Toyota,Camry,2018,2900000.0,Новосибирск,142000.0,3.5,"бензин,"
Toyota,Camry,2010,3000000.0,Ханты-Мансийск,198000.0,3.5,"бензин,"
Toyota,Camry,2005,1250000.0,Красноярск,140000.0,2.4,"бензин,"
Toyota,Camry,2006,1200000.0,Ярославль,347000.0,3.5,"бензин,"
Toyota,Camry,2014,1955000.0,Залари,196530.0,2.5,"бензин,"
Toyota,Camry,2002,750000.0,Хабаровск,332000.0,2.4,"бензин,"
Toyota,Camry,2015,2300000.0,Красноярск,74000.0,2.5,"бензин,"
Toyota,Camry,2019,2564000.0,Ярославль,80000.0,2.5,"бензин,"
